row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage
party,Alternativet,11,133,"4,3%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Beder Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/a5c24019-7221-4e76-8c04-ad1a5a842397,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,a5c24019-7221-4e76-8c04-ad1a5a842397,,,
party_list_votes,Alternativet,11,,,,1. Aarhus Syd,Beder Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/a5c24019-7221-4e76-8c04-ad1a5a842397,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,a5c24019-7221-4e76-8c04-ad1a5a842397,Partistemmer,31,
party,Uden for parti,12,,,,1. Aarhus Syd,Beder Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/a5c24019-7221-4e76-8c04-ad1a5a842397,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,a5c24019-7221-4e76-8c04-ad1a5a842397,,,
party,Socialdemokratiet,0,956,"17,5%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Socialdemokratiet,0,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,555,
party,Radikale Venstre,1,570,"10,5%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Radikale Venstre,1,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,305,
party,Det Konservative Folkeparti,2,378,"6,9%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Det Konservative Folkeparti,2,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,178,
party,SF - Socialistisk Folkeparti,3,948,"17,4%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,SF - Socialistisk Folkeparti,3,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,618,
party,Borgernes Parti - Lars Boje Mathiesen,4,69,"1,3%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Borgernes Parti - Lars Boje Mathiesen,4,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,17,
party,Liberal Alliance,5,538,"9,9%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Liberal Alliance,5,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,110,
party,Moderaterne,6,377,"6,9%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Moderaterne,6,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,278,
party,Dansk Folkeparti,7,239,"4,4%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Dansk Folkeparti,7,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,181,
