candidate_name,party_name,storkreds,list_type,is_alphabetical,list_position,raw_position,opstillet_i_kreds,prioriteret_i_kreds,personal_votes,total_votes,valgt_token,elected_marker,valgt_nr,stedfortraeder_nr,is_elected,beat_someone_above,n_above,n_above_beaten
Joachim Riis,Liberal Alliance,Sjællands Storkreds,prioriteret_sideordnet,False,16,Alle,Alle,"1,2,3,4,5",965,965,1T,T,1,,True,1,15,14
Pernille Vermund,Liberal Alliance,Sjællands Storkreds,prioriteret_sideordnet,False,20,Alle,Alle,"9,10,11,12",5751,5751,1K,K,1,,True,1,19,19
Helena Artmann Andresen,Liberal Alliance,Sydjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"1,2,3,13",2387,2387,2K,K,2,,True,1,1,1
Cecilie Liv Hansen,Liberal Alliance,Sydjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,,2569,2569,1K,K,1,,True,1,2,2
Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,"5,6,7,8",2385,2385,2K,K,2,,True,1,5,5
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,"1,2,3,4",38487,38487,1K,K,1,,True,1,9,9
Thorbjørn Jacobsen,Liberal Alliance,Vestjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"1,10,11",1836,1836,1T,T,1,,True,1,2,1
Sólbjørg Jakobsen,Liberal Alliance,Nordjyllands Storkreds,prioriteret_sideordnet,False,9,Alle,Alle,"7,8,9",7618,7618,1K,K,1,,True,1,8,8
Peter Larsen,Liberal Alliance,Nordjyllands Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,,1493,1493,1T,T,1,,True,1,10,9
Jakob Engel-Schmidt,Moderaterne,Københavns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"1,2,3,4,7,8,10,11,12",8132,8132,1K,K,1,,True,1,1,1
Monika Rubin,Moderaterne,Københavns Omegns Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,"1,2,3,4,5",4633,4633,1K,K,1,,True,1,6,6
Rasmus Lund-Nielsen,Moderaterne,Nordsjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,Alle,3574,3574,1K,K,1,,True,1,3,3
