candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Julie Herdal,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,3,573,573,,,6,,False
Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,6,4491,4491,2K,2,,K,True
Helene Langager,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,1,1198,1198,,,3,,False
Thomas Markmann,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,7,404,404,,,8,,False
Marianne Mortensen,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,8,229,229,,,9,,False
Emil Moselund,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,12,975,975,,,4,,False
Samira Nawa,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,5,10372,10372,1K,1,,K,True
Mikkel Senna Odoom,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,4,529,529,,,7,,False
Thomas Rohden,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,10,4136,4136,1T,1,,T,True
Frederik Rosberg,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,11,838,838,,,5,,False
Anne-Sofie Sadolin,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,9,1385,1385,,,2,,False
Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,Hovedstaden,Alle,2,1630,1630,,,1,,False
Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,6,1327,1327,,,5,,False
Zohair Ali,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,,1997,1997,,,1,,False
Lars Green Bach,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,8,374,374,,,8,,False
Trine Dybkjær,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,,1497,1497,,,3,,False
Christina Falkberg,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,3,1385,1385,,,4,,False
Jens Frost,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,4,235,235,,,10,,False
Ruben Kidde,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,1,862,862,,,6,,False
Brian Køster,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,5,275,275,,,9,,False
Stinus Lindgreen,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,2,2837,2837,1K,1,,K,True
Esat Senturk,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,7,1664,1664,,,2,,False
Isabel Havndrup Aackmann,Radikale Venstre,Københavns Omegns Storkreds,Hovedstaden,Alle,,533,533,,,7,,False
Christian Elkjær,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,4,414,414,,,6,,False
Tine Hessner,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,5,1086,1086,,,1,,False
Mikkel Westh Jepsen,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,1,472,472,,,5,,False
Martin Lidegaard,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,6,9328,9328,1K,1,,K,True
Freja Eva Lockenwitz,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,,1009,1009,,,2,,False
Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,2,899,899,,,3,,False
Christina Thorholm,Radikale Venstre,Nordsjællands Storkreds,Hovedstaden,Alle,3,877,877,,,4,,False
Laila Stougaard Kofoed Espersen,Radikale Venstre,Bornholms Storkreds,Hovedstaden,Alle,,76,76,,,1,,False
Simon Bech Munch-Petersen,Radikale Venstre,Bornholms Storkreds,Hovedstaden,Alle,Alle,36,36,,,2,,False
Troels Brandt,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,12,281,281,,,6,,False
Mette Hvid Brockmann,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"9,10",600,600,,,3,,False
Helena Tjørnelund Christensen,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,502,502,,,4,,False
Jeppe Fransson,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,223,223,,,8,,False
Sofie Holm,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"3,4",831,831,,,2,,False
Line Krogh Lay,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"5,6",902,902,,,1,,False
Edris Qasimi,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"2,11",444,444,,,5,,False
Zenia Stampe,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"7,8",4242,4242,1T,1,,T,True
Kristian Stokholm,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,1,175,175,,,9,,False
Jeppe Trolle,Radikale Venstre,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,244,244,,,7,,False
Jakob Larsen,Radikale Venstre,Fyns Storkreds,Sjælland-Syddanmark,Alle,"2,4",1176,1176,,,1,,False
Kim Lei-Jensen,Radikale Venstre,Fyns Storkreds,Sjælland-Syddanmark,Alle,"3,8",656,656,,,3,,False
Jan Werner Mathiasen,Radikale Venstre,Fyns Storkreds,Sjælland-Syddanmark,Alle,"6,7",1155,1155,,,2,,False
Anastasia Milthers,Radikale Venstre,Fyns Storkreds,Sjælland-Syddanmark,Alle,"1,5",2393,2393,1T,1,,T,True
Anne Marie Geisler Andersen,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"4,5",1349,1349,,,2,,False
Barbara Krarup Hansen,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,6,96,96,,,8,,False
Ole Lynggaard Jørgensen,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,8,178,178,,,5,,False
Bjarne Lastein,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,7,62,62,,,9,,False
