candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Steffen Friis,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,92,92,,,11,,False
Frederik Grünfeld,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,351,351,,,3,,False
Elva Bille Klem,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,56,56,,,14,,False
Frederik Max Krag,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,26,26,,,17,,False
Ulrik Lassen,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,155,155,,,8,,False
Julie Memborg,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,299,299,,,4,,False
Susan H. Møller,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,33,33,,,16,,False
Nikolaj Brink Olsen,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,93,93,,,10,,False
Martin Mickey Pedersen,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,97,97,,,9,,False
Brian Prehn,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,44,44,,,15,,False
Carsten Abildtrup Ranum,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,82,82,,,12,,False
Michael Rask,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,243,243,,,5,,False
Joachim Riis,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"1,2,3,4,5",965,965,1T,1,,T,True
Nicolai Sandager,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,172,172,,,7,,False
Kasper Schneider,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,878,878,,,1,,False
Sandra Skalvig,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,191,191,,,6,,False
Pernille Vermund,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"9,10,11,12",5751,5751,1K,1,,K,True
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,"1,2,3",2375,2375,1K,1,,K,True
Thomas Estrup,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,142,142,,,4,,False
Malte Jäger,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,"4,5,6,7,8",1656,1656,,,1,,False
Araz Khan,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,978,978,,,3,,False
Martin Lissner,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,101,101,,,6,,False
Pia Offer Madsen,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,1573,1573,,,2,,False
Tonny Vest,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,79,79,,,7,,False
Gustav Wilde,Liberal Alliance,Fyns Storkreds,Sjælland-Syddanmark,Alle,,118,118,,,5,,False
Carl Andersen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,1106,1106,,,3,,False
Helena Artmann Andresen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"1,2,3,13",2387,2387,2K,2,,K,True
Cecilie Liv Hansen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,2569,2569,1K,1,,K,True
Kim Alexander Jensen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"4,5,6,7",903,903,,,4,,False
Christian Jørgensen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,498,498,,,5,,False
Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,1738,1738,,,1,,False
Steffen Larsen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"8,9,10,11,12",1593,1593,,,2,,False
Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,351,351,,,7,,False
Christian Fini Mosegaard,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,96,96,,,9,,False
John Rasmussen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,155,155,,,8,,False
Troels Simonsen,Liberal Alliance,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,446,446,,,6,,False
Lars Abildskov,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,177,177,,,5,,False
Louise Brown,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"9,10,11",992,992,,,1,,False
Chris Hvidberg,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,285,285,,,3,,False
Søren Jensen,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,157,157,,,6,,False
Michael Klausen,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,79,79,,,8,,False
Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"5,6,7,8",2385,2385,2K,2,,K,True
Kim Møller-Nielsen,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,473,473,,,2,,False
Niels Povlsgaard,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,88,88,,,7,,False
Louise Svenstrup,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,206,206,,,4,,False
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,2,3,4",38487,38487,1K,1,,K,True
Carsten Bach,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"5,6,7,8,9",2315,2315,1K,1,,K,True
Ragnar Dixen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,685,685,,,2,,False
Thorbjørn Jacobsen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,10,11",1836,1836,1T,1,,T,True
Helle Jensen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"2,3,4",1487,1487,,,1,,False
Iben Forum Jeppesen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,81,81,,,8,,False
Keld Lorenzen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,278,278,,,4,,False
Svend Stein Olsen,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,111,111,,,6,,False
Kevin Possekel,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,71,71,,,9,,False
Annette Sofia Skotte,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,89,89,,,7,,False
Steffen Troldtoft,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,132,132,,,5,,False
Michael Valbjørn,Liberal Alliance,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,636,636,,,3,,False
Claus Beck,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,219,219,,,7,,False
HP Beck,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,2,3",992,992,,,1,,False
Thomas Christiansen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,48,48,,,15,,False
Kim Gaarsdahl,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,102,102,,,10,,False
Kenneth Skatka Hammer,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,"4,5,6",382,382,,,4,,False
Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,245,245,,,5,,False
Mark Hellerup,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,172,172,,,8,,False
Thomas Heuniche,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,48,48,,,14,,False
Sólbjørg Jakobsen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,"7,8,9",7618,7618,1K,1,,K,True
Kresten Solvang Larsen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,64,64,,,12,,False
Peter Larsen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1493,1493,1T,1,,T,True
Jimmy Abel Nielsen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,59,59,,,13,,False
Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,137,137,,,9,,False
Frederik Blicher Pedersen,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,40,40,,,16,,False
Bo Ritterbusch,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,588,588,,,2,,False
Dan Gaardboe Rueskov,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,75,75,,,11,,False
Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,406,406,,,3,,False
Lukas Vestergaard,Liberal Alliance,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,236,236,,,6,,False
Ellen Emilie,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,,1175,1175,1T,1,,T,True
Jakob Engel-Schmidt,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,"1,2,3,4,7,8,10,11,12",8132,8132,1K,1,,K,True
Nanna W. Gotfredsen,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,"5,6,9",1091,1091,,,1,,False
Lisbeth Dam Larsen,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,,382,382,,,4,,False
Ali Qais,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,,1024,1024,,,2,,False
Mads Sebbelov,Moderaterne,Københavns Storkreds,Hovedstaden,Alle,,790,790,,,3,,False
Zishan Ali,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,,874,874,,,2,,False
Betina Asbæk,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,,691,691,,,3,,False
Dorthe Beck-Nyling,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,,350,350,,,4,,False
Karan Khosla,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,,224,224,,,6,,False
Özkan Kocak,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,"6,7,8",1151,1151,,,1,,False
Frederik Lau Petersen,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,,225,225,,,5,,False
Monika Rubin,Moderaterne,Københavns Omegns Storkreds,Hovedstaden,Alle,"1,2,3,4,5",4633,4633,1K,1,,K,True
Pernille Christensen,Moderaterne,Nordsjællands Storkreds,Hovedstaden,Alle,,885,885,1T,1,,T,True
Charlotte Haagendrup,Moderaterne,Nordsjællands Storkreds,Hovedstaden,Alle,,865,865,,,1,,False
Ayhan Kilic,Moderaterne,Nordsjællands Storkreds,Hovedstaden,Alle,,763,763,,,2,,False
Rasmus Lund-Nielsen,Moderaterne,Nordsjællands Storkreds,Hovedstaden,Alle,Alle,3574,3574,1K,1,,K,True
Andreas Raben,Moderaterne,Nordsjællands Storkreds,Hovedstaden,Alle,,322,322,,,3,,False
Lasse Oszadlik,Moderaterne,Bornholms Storkreds,Hovedstaden,Alle,,17,17,,,2,,False
Kirstine van Sabben,Moderaterne,Bornholms Storkreds,Hovedstaden,Alle,Alle,600,600,,,1,,False
Charlotte Bagge,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"1,2,3",1909,1909,2K,2,,K,True
Jan Carlsen,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,187,187,,,6,,False
Mogens Haugaard,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,330,330,,,1,,False
Frida Qvist Kristensen,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,214,214,,,5,,False
Mia Linda Møller,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,322,322,,,2,,False
Kasper Nygaard,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,220,220,,,4,,False
Brian Perri,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,234,234,,,3,,False
Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"4,5,6,7,8,9,10,11,12",34636,34636,1K,1,,K,True
Rosa Eriksen,Moderaterne,Fyns Storkreds,Sjælland-Syddanmark,Alle,"3,4,7,8",2016,2016,,,1,,False
Andreas Lausen,Moderaterne,Fyns Storkreds,Sjælland-Syddanmark,Alle,,275,275,,,3,,False
Camilla Schuster Nygaard,Moderaterne,Fyns Storkreds,Sjælland-Syddanmark,Alle,,434,434,,,2,,False
Lars Aagaard,Moderaterne,Fyns Storkreds,Sjælland-Syddanmark,Alle,"1,2,5,6",5685,5685,1K,1,,K,True
Gitte Bjerremand Andersen,Moderaterne,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,609,609,,,2,,False
Frida Bruun,Moderaterne,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"6,7",3193,3193,1T,1,,T,True
Henrik Frandsen,Moderaterne,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"1,2,3,4,5,8,9,10,11,12,13",4471,4471,1K,1,,K,True
Lone Hansen,Moderaterne,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,341,341,,,3,,False
Morten Hell,Moderaterne,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,1001,1001,,,1,,False
Christina Egelund,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"2,3,5,6,7,8,11",3549,3549,1T,1,,T,True
Peter Have,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,676,676,,,3,,False
Sara Pernille Jespersen,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,428,428,,,5,,False
Susan Kronborg,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,776,776,,,1,,False
Sten Larsen,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,713,713,,,2,,False
Caroline Stage,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,4,9,10",3751,3751,1K,1,,K,True
Søren Vanting,Moderaterne,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,502,502,,,4,,False
Jeppe von Berg,Moderaterne,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,408,408,,,3,,False
Morten E.G. Brautsch,Moderaterne,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,1585,1585,1K,1,,K,True
Michael Nielsen,Moderaterne,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,562,562,,,2,,False
Martin Sanderhoff,Moderaterne,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,650,650,,,1,,False
Nikolaj C. Andersen,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,168,168,,,5,,False
Morten Arvidsson,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,658,658,,,2,,False
Ditte Ravn Kaagaard,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,414,414,,,3,,False
Line Randa,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,986,986,,,1,,False
Mohammad Rona,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,1604,1604,1K,1,,K,True
Thomas Skovgaard,Moderaterne,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,288,288,,,4,,False
Allan Feldt,Dansk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,"3,5,9,10,11",1679,1679,1K,1,,K,True
Paw Karslund,Dansk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,1677,1677,,,1,,False
Merete Dea Larsen,Dansk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,"1,2,4,6,7,8,12",1083,1083,,,2,,False
Denise Rostgaard,Dansk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,649,649,,,3,,False
Mikkel Bjørn,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,Alle,5746,5746,1K,1,,K,True
Hans Blaaberg,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,739,739,,,1,,False
Mikkel Dencker,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,750,750,1T,1,,T,True
Kim Hammer,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,375,375,,,5,,False
Michael Jensen,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,475,475,,,3,,False
Zandra Thulstrup Pihl,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,412,412,,,4,,False
Tenna Røberg,Dansk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,,503,503,,,2,,False
Pia Adelsteen,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,354,354,,,6,,False
Mikkel Hartwich,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,840,840,,,1,,False
Jette Juul,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,405,405,,,4,,False
Brian Lyck Jørgensen,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,566,566,,,3,,False
Ulla Kokfelt,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,376,376,,,5,,False
Gert Løfgren,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,608,608,,,2,,False
Mette Thiesen,Dansk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,Alle,4555,4555,1K,1,,K,True
Bo Vibe Ancher Jensen,Dansk Folkeparti,Bornholms Storkreds,Hovedstaden,Alle,,2501,545,,,1,,False
Jacob Bentsen,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,104,104,,,7,,False
Anders Bork,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,209,209,,,4,,False
Henrik Brodersen,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,366,366,,,2,,False
Tanja Glückstadt,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,276,276,,,3,,False
Simon Hampe,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,179,179,,,5,,False
Søren Lund Hansen,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,415,415,,,1,,False
Jan Herskov,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,460,460,1T,1,,T,True
Julie Jacobsen,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,768,768,3K,3,,K,True
Malte Larsen,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1036,1036,2K,2,,K,True
Morten Messerschmidt,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,Alle,50819,50819,1K,1,,K,True
Michael Pihl,Dansk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,111,111,,,6,,False
Alex Ahrendtsen,Dansk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,Alle,3281,3281,1K,1,,K,True
Niels Bolding,Dansk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,344,344,,,3,,False
Anne Møllegaard Mortensen,Dansk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,1149,1149,,,1,,False
Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,326,326,,,4,,False
Tobias Weische,Dansk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,1054,1054,,,2,,False
Rune Bønnelykke,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,814,814,2K,2,,K,True
Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,428,428,,,5,,False
Kim Andkjær Doberck,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,510,510,,,3,,False
Rune Højer,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,123,123,,,9,,False
Sune Nørgaard Jakobsen,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,531,531,,,2,,False
Christian Kirk,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,663,663,,,1,,False
Per Knudsen,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,448,448,,,4,,False
Josephine Alstrup Kofod,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,734,734,1T,1,,T,True
Peter Kofod,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,Alle,15993,15993,1K,1,,K,True
Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,203,203,,,7,,False
Allan Svendsen,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,362,362,,,6,,False
Jim Zakaria,Dansk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,188,188,,,8,,False
Mercedes Czank,Dansk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,156,156,,,3,,False
Nana Harring,Dansk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1121,1121,,,1,,False
Jens Kannegaard Lundager,Dansk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,516,516,,,2,,False
Michael Nedersøe,Dansk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,2075,2075,1T,1,,T,True
Nick Zimmermann,Dansk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,6007,6007,1K,1,,K,True
Lone Langballe,Dansk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1562,1562,,,1,,False
Knud Nielsen,Dansk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,352,352,,,4,,False
Søren Boel Olesen,Dansk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,2446,2446,1K,1,,K,True
Michelle Sundahl,Dansk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1059,1059,,,2,,False
Mikael Würtz,Dansk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,889,889,,,3,,False
Thomas Hjort,Dansk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,570,570,,,3,,False
Emma Houe Mølgaard,Dansk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,940,940,,,2,,False
Danny Rosenkilde,Dansk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1011,1011,,,1,,False
Jørgen Hammer Sørensen,Dansk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,334,334,,,4,,False
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,3580,3580,1K,1,,K,True
Zeynep Bardakci,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,2,300,126,,,7,,False
Claus Buch,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,9,1108,468,,,3,,False
Anders Fausbøll,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,"4,8",834,356,,,5,,False
Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,"7,11",8009,3538,,,1,,False
Natascha Remvig,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,"5,6",973,411,,,4,,False
Malene Sandfeld,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,"10,12",802,348,,,6,,False
Linea Søgaard-Lidell,"Venstre, Danmarks Liberale Parti",Københavns Storkreds,Hovedstaden,Alle,"1,3",4949,2113,,,2,,False
Christopher Blomsterberg-Thaysen,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,7,852,277,,,5,,False
Marie Brixtofte,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,1,6514,2827,1T,1,,T,True
Luise Hjortebjerg,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,4,661,247,,,6,,False
Maria Ladegaard,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,2,1504,568,,,3,,False
Anders Bo Larsen,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,5,1242,433,,,4,,False
Astrid Søborg,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,3,2214,915,,,2,,False
Kim Valentin,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,8,3851,1461,,,1,,False
Ricki Vejsmose,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,Hovedstaden,Alle,6,452,143,,,7,,False
Katarina Ammitzbøll,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,2,1895,1018,,,4,,False
Hans Andersen,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,4,4538,2664,,,1,,False
Marianne Lynghøj,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,6,3412,1829,,,2,,False
Sophie Løhde,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,5,12514,6784,1K,1,,K,True
Annette Rieva,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,1,1051,595,,,5,,False
Tue Villebro,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,Hovedstaden,Alle,3,2096,1205,,,3,,False
Birthe Tindbæk Bredo,"Venstre, Danmarks Liberale Parti",Bornholms Storkreds,Hovedstaden,Alle,,27,24,,,2,,False
Peter Juel-Jensen,"Venstre, Danmarks Liberale Parti",Bornholms Storkreds,Hovedstaden,Alle,Alle,3494,3017,1K,1,,K,True
Niklas Stenbye,"Venstre, Danmarks Liberale Parti",Bornholms Storkreds,Hovedstaden,Alle,,646,558,,,1,,False
Christian Friis Bach,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,Sjælland-Syddanmark,Alle,4,3957,2040,,,4,,False
Claus Bakke,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,Sjælland-Syddanmark,Alle,3,956,553,,,7,,False
Morten Dahlin,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,Sjælland-Syddanmark,Alle,6,12552,7021,1K,1,,K,True
Marcus Danielsson,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,Sjælland-Syddanmark,Alle,12,693,364,,,8,,False
