candidate_name,party_name,storkreds
Gert Bækgaard,Venstre,Vestjyllands Storkreds
Jarl Matthiesen,Venstre,Vestjyllands Storkreds
Kasper Thomassen,Venstre,Vestjyllands Storkreds
Majbrit Nørgaard,Venstre,Vestjyllands Storkreds
Morten Høgh,Venstre,Vestjyllands Storkreds
Ralf Høgedal,Venstre,Vestjyllands Storkreds
Søren Gade,Venstre,Vestjyllands Storkreds
Thomas Danielsen,Venstre,Vestjyllands Storkreds
Trine Jepsen,Venstre,Vestjyllands Storkreds
Anna Calero,Alternativet,Østjyllands Storkreds
Bjørn Olsen,Alternativet,Østjyllands Storkreds
Gitte Dreier Jacobsen,Alternativet,Østjyllands Storkreds
Hanne K. Mortensen,Alternativet,Østjyllands Storkreds
Juma Nellemann Kruse,Alternativet,Østjyllands Storkreds
Karina Konrad,Alternativet,Østjyllands Storkreds
Kim Sørensen,Alternativet,Østjyllands Storkreds
Lissi Bagge,Alternativet,Østjyllands Storkreds
Mads Damgaard Mortensen,Alternativet,Østjyllands Storkreds
Marcus Bech Pedersen,Alternativet,Østjyllands Storkreds
Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds
Pernille Skærsø,Alternativet,Østjyllands Storkreds
Sasja Elkjær Krogsdal,Alternativet,Østjyllands Storkreds
Steffen Hedegaard Attermann Brinch,Alternativet,Østjyllands Storkreds
Tenna Duch Schaldemose,Alternativet,Østjyllands Storkreds
Thomas Due Nielsen,Alternativet,Østjyllands Storkreds
Thomas Quist Mortensen,Alternativet,Østjyllands Storkreds
Thor Clasen Jonasen,Alternativet,Østjyllands Storkreds
Tina Kjær,Alternativet,Østjyllands Storkreds
Torsten Gejl,Alternativet,Østjyllands Storkreds
Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds
Michael Bang Pedersen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds
Viviane Ellasofie Karlsen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds
Erik Poulsen,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds
Hans Kristian Skibby,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds
Lone Glarbo,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds
Magnus Bigum,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds
Rune Mikkelsen,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds
Jens Kannegaard Lundager,Dansk Folkeparti,Østjyllands Storkreds
Mercedes Czank,Dansk Folkeparti,Østjyllands Storkreds
Michael Nedersøe,Dansk Folkeparti,Østjyllands Storkreds
Nana Harring,Dansk Folkeparti,Østjyllands Storkreds
Nick Zimmermann,Dansk Folkeparti,Østjyllands Storkreds
Anders Krojgaard Lund,Det Konservative Folkeparti,Østjyllands Storkreds
Bia Ndamukunda,Det Konservative Folkeparti,Østjyllands Storkreds
Bjørn Jensen,Det Konservative Folkeparti,Østjyllands Storkreds
Caroline Svejsø,Det Konservative Folkeparti,Østjyllands Storkreds
Charlotte Green,Det Konservative Folkeparti,Østjyllands Storkreds
Jacob Skjærris,Det Konservative Folkeparti,Østjyllands Storkreds
Michael Faust Horsbøl,Det Konservative Folkeparti,Østjyllands Storkreds
Mona Juul,Det Konservative Folkeparti,Østjyllands Storkreds
Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds
Peter Sporleder,Det Konservative Folkeparti,Østjyllands Storkreds
Viktor Thyregod Sivertsen,Det Konservative Folkeparti,Østjyllands Storkreds
Christina Hedegaard Hansen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Dennis Munk,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Edith Vels,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Jakob Jensen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Kristjar Skajaa,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Lisbeth Ivanhoe,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Maria Sørensen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Maria Temponeras,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Martin Laursen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds
Chris Hvidberg,Liberal Alliance,Østjyllands Storkreds
Jens Meilvang,Liberal Alliance,Østjyllands Storkreds
Kim Møller-Nielsen,Liberal Alliance,Østjyllands Storkreds
Lars Abildskov,Liberal Alliance,Østjyllands Storkreds
Louise Brown,Liberal Alliance,Østjyllands Storkreds
Louise Svenstrup,Liberal Alliance,Østjyllands Storkreds
Michael Klausen,Liberal Alliance,Østjyllands Storkreds
Niels Povlsgaard,Liberal Alliance,Østjyllands Storkreds
Søren Jensen,Liberal Alliance,Østjyllands Storkreds
Caroline Stage,Moderaterne,Østjyllands Storkreds
Christina Egelund,Moderaterne,Østjyllands Storkreds
Peter Have,Moderaterne,Østjyllands Storkreds
Sara Pernille Jespersen,Moderaterne,Østjyllands Storkreds
Sten Larsen,Moderaterne,Østjyllands Storkreds
Susan Kronborg,Moderaterne,Østjyllands Storkreds
Søren Vanting,Moderaterne,Østjyllands Storkreds
Anne Sophie Callesen,Radikale Venstre,Østjyllands Storkreds
Bjarke Jensen,Radikale Venstre,Østjyllands Storkreds
Hanne Roed,Radikale Venstre,Østjyllands Storkreds
Katrine Robsøe,Radikale Venstre,Østjyllands Storkreds
Line Rasmussen,Radikale Venstre,Østjyllands Storkreds
Mathias Sikora,Radikale Venstre,Østjyllands Storkreds
Rabih Azad-Ahmad,Radikale Venstre,Østjyllands Storkreds
Rikke Christensen,Radikale Venstre,Østjyllands Storkreds
Rune Christiansen,Radikale Venstre,Østjyllands Storkreds
Anna Brændemose,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Carina Sarkkinen,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Charlotte Vindeløv,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Kirsten Normann Andersen,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Morten Siig Henriksen,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Paw Hedegaard Amdisen,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Rasmus T. Mortensen,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Sofie Lippert,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Søren Lahn Sloth,SF - Socialistisk Folkeparti,Østjyllands Storkreds
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds
Camilla Fabricius,Socialdemokratiet,Østjyllands Storkreds
Dorthe Hindborg,Socialdemokratiet,Østjyllands Storkreds
Erik Særkjær,Socialdemokratiet,Østjyllands Storkreds
Leif Lahn Jensen,Socialdemokratiet,Østjyllands Storkreds
Louise Stenmann,Socialdemokratiet,Østjyllands Storkreds
Malte Larsen,Socialdemokratiet,Østjyllands Storkreds
Mathias Thybo,Socialdemokratiet,Østjyllands Storkreds
Nicolai Wammen,Socialdemokratiet,Østjyllands Storkreds
Pia Halkjær,Socialdemokratiet,Østjyllands Storkreds
Thomas Monberg,Socialdemokratiet,Østjyllands Storkreds
Søren Skjold Andersen,Uden for partierne,Østjyllands Storkreds
Emil M. D. Christensen,Venstre,Østjyllands Storkreds
Erik Veje Rasmussen,Venstre,Østjyllands Storkreds
Gert Bjerregaard,Venstre,Østjyllands Storkreds
Hans Skou,Venstre,Østjyllands Storkreds
Henrik Rejnholt Andersen,Venstre,Østjyllands Storkreds
Karina Aamann,Venstre,Østjyllands Storkreds
Louise Høeg,Venstre,Østjyllands Storkreds
Louise Louring,Venstre,Østjyllands Storkreds
Mathilde Hjort Bressum,Venstre,Østjyllands Storkreds
Sebastian Støckler,Venstre,Østjyllands Storkreds
Troels Lund Poulsen,Venstre,Østjyllands Storkreds
