candidate_name,party_name,storkreds
Stinus Lindgreen,Radikale Venstre,Københavns Omegns Storkreds
Trine Dybkjær,Radikale Venstre,Københavns Omegns Storkreds
Zohair Ali,Radikale Venstre,Københavns Omegns Storkreds
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Helene Brochmann,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Niels Haxthausen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Sigurd Agersnap,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Sofie F. Villadsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Taner Genc,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Troels Stru Schmidt,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds
Gunvor Wibroe,Socialdemokratiet,Københavns Omegns Storkreds
Jens Anton Tingstrøm,Socialdemokratiet,Københavns Omegns Storkreds
Magnus Barsøe,Socialdemokratiet,Københavns Omegns Storkreds
Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds
Mattias Tesfaye,Socialdemokratiet,Københavns Omegns Storkreds
Morten Bødskov,Socialdemokratiet,Københavns Omegns Storkreds
Sofie de Bretteville,Socialdemokratiet,Københavns Omegns Storkreds
Vibeke Westh,Socialdemokratiet,Københavns Omegns Storkreds
Anders Bo Larsen,Venstre,Københavns Omegns Storkreds
Astrid Søborg,Venstre,Københavns Omegns Storkreds
Christopher Blomsterberg-Thaysen,Venstre,Københavns Omegns Storkreds
Kim Valentin,Venstre,Københavns Omegns Storkreds
Luise Hjortebjerg,Venstre,Københavns Omegns Storkreds
Maria Ladegaard,Venstre,Københavns Omegns Storkreds
Marie Brixtofte,Venstre,Københavns Omegns Storkreds
Ricki Vejsmose,Venstre,Københavns Omegns Storkreds
Anders Sørensen,Alternativet,Københavns Storkreds
Catharina Næsby Malkki,Alternativet,Københavns Storkreds
Franciska Rosenkilde,Alternativet,Københavns Storkreds
Jakob Ravn Karlsen,Alternativet,Københavns Storkreds
Jan Kristoffersen,Alternativet,Københavns Storkreds
Jan Schumann,Alternativet,Københavns Storkreds
Jiesper Tristan Pedersen,Alternativet,Københavns Storkreds
Lise Coermann,Alternativet,Københavns Storkreds
Mette Bram,Alternativet,Københavns Storkreds
Mikkel Bahl,Alternativet,Københavns Storkreds
Nikolai Eskild Jensen,Alternativet,Københavns Storkreds
Noah Sturis,Alternativet,Københavns Storkreds
Peter Martin Jakobsen,Alternativet,Københavns Storkreds
Qasam Nazir Ahmad,Alternativet,Københavns Storkreds
Roger Courage Matthisen,Alternativet,Københavns Storkreds
