row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage,error
party_list_votes,"Venstre, Danmarks Liberale Parti",10,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,620,,
party,Enhedslisten - De Rød-Grønne,11,293,"-85 -1,4%",Partiliste,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Enhedslisten - De Rød-Grønne,11,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,198,,
party,Alternativet,12,112,"-67 -1,1%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Alternativet,12,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,85,,
party,Uden for parti,13,,- -,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party,Socialdemokratiet,0,533,"+74 +2,9%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Socialdemokratiet,0,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,267,,
party,Radikale Venstre,1,114,"+44 +2,4%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Radikale Venstre,1,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,64,,
party,Det Konservative Folkeparti,2,77,"+50 +2,9%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Det Konservative Folkeparti,2,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,46,,
party,Nye Borgerlige,3,69,"+69 +4,1%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Nye Borgerlige,3,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,19,,
party,Klaus Riskær Pedersen,4,13,"+13 +0,8%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Klaus Riskær Pedersen,4,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,10,,
party,SF - Socialistisk Folkeparti,5,104,"+54 +3,1%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,SF - Socialistisk Folkeparti,5,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,59,,
party,Liberal Alliance,6,29,"-53 -3,5%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Liberal Alliance,6,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,17,,
party,Kristendemokraterne,7,24,"+15 +0,9%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
