nomination_label,nomination_url,polling_label,polling_url
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Svenstruphallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/b380a0aa-57f6-4a4a-a0f9-56969e8c97b2
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Vesterkærets Skole,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/bcbe3396-1fe6-4443-b359-5c8d11098b76
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Båndby - Hallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/b52c3d98-6224-487f-b666-6a4e71d80785
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Gigantium,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/aa83507f-e0f3-4ede-b2bd-2e4c030aa563
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Gistrup Skoles Idrætshal,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/e79c8549-c60b-46d2-bf7f-8540c680573b
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Gug Skole,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/d7959420-ca68-4369-a808-6b3bd0224e97
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Idrætscentret Kongerslev,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/d0762b62-573c-4c6f-acb6-16b98bbf87a3
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Klaruphallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/45fe595e-1d65-4b04-846a-f9ad3c504378
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Mellervangskolens Idrætshal,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/ec30309c-99fc-4028-8bc1-32caeac3bc84
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Mou Hotel,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/c4413d4f-ec84-46ea-88e1-0ddde30b44eb
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Sønderbroskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/9acbb669-b73e-4c85-abf5-5187f7c59cbf
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,"Tornhøjskolen, Hallen",https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/9f7a6fc5-4f2c-43c1-9a61-6a2d298d3798
