candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@gustavwilde""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40gustavwilde%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@gustav.wilde""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40gustav.wilde%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,"Exploring Karachi, Pakistan in Nice Weather | TikTok","154 Likes, TikTok video from Shazia Araz Khan (@shazia. araz . khan ): “Join us as we take a look at the beautiful city of Karachi, Pakistan in perfect weather conditions.",https://www.tiktok.com/@shazia.araz.khan,shazia.araz.khan,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,100k Views Celebration in Saudi Arabia | TikTok,"962 من تسجيلات الإعجاب،22 من التعليقات.فيديو TikTok(تيك توك) من Khan Araz Khan (@khanarazkhan): ""Celebrate reaching 100k views with us!",https://www.tiktok.com/@khanarazkhan,khanarazkhan,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,Araz Khan 895 (@arazkhan895) TikTok | Watch Araz...,Araz Khan 895. Follow. 2371.,https://www.tiktok.com/@arazkhan895,arazkhan895,35,25,0,0,60,possible_match
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,Mere Pyar Ki Umar Ho Song Edit | TikTok,TikTok video from *꧁༺F araz khan ༻꧂(@farazkhan_900): “Enjoy this heartfelt edit of the song 'Mere Pyar Ki Umar Ho'. Watch now! #viral #fyp #NewPepsiHitMeLike #fypシ...,https://www.tiktok.com/@farazkhan_900,farazkhan_900,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,A R A Z 02 (@ arazkhan 002) | TikTok,TikTok'ta A R A Z 02 (@ arazkhan 002) |134.5K Beğeni.2795 Takipçi.A İ A A G H D A M .A R A Z 02 (@ arazkhan 002) adlı kullanıcıdan en yeni videoyu izleyin.,https://www.tiktok.com/@arazkhan002,arazkhan002,35,25,8,0,68,possible_match
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,Çiçek Akımı Anam Burdan Keçib | TikTok,60.3M posts. Discover videos related to Çiçek Akımı Anam Burdan Keçib on TikTok.,https://www.tiktok.com/discover/çiçek-akımı-anam-burdan-keçib,,0,0,8,0,8,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,arraz91｜Поиск в TikTok,arazkhan 91.,https://www.tiktok.com/discover/arraz91?lang=ru-RU,,0,25,8,0,33,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@araz.khan""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40araz.khan%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Araz Khan,Liberal Alliance,Fyns Storkreds,"""Araz Khan"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Araz Khan,Liberal Alliance,Fyns Storkreds,"""Araz Khan"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,Katrinw Daugaard | TikTok,Katrine Daugaard og Upgrade S- #photosbyceciliewiese #photography #photoshoot #photooftheday #photo #tiktokphotography #videoviral #trend #viral #eq #equestrian...,https://www.tiktok.com/discover/katrinw-daugaard,,0,25,0,0,25,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,Katrine Daugaard (@katrinevondaugaard) | TikTok,katrinevondaugaard. Katrine Daugaard . Подписаться. Сообщение.«» от автора Katrine Daugaard с композицией «Summit (feat.,https://www.tiktok.com/@katrinevondaugaard,katrinevondaugaard,18,25,0,0,43,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,Prøv noget nyt den 18. november X | TikTok,Prøv noget nyt d. 18. november X. Katrine Daugaard Christensen fik sat fut i Odense i dag. Odense har brug for en frisk start.,https://www.tiktok.com/@hvemkhan,hvemkhan,0,25,0,0,25,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,Jumps on Stick | TikTok,cr: @ Katrine Daugaard Jørgensen #equestrian #jumping #fyp #viral Jumping Colorful Sticks: Equestrian Fun. Join me as I jump colorful sticks for fun with my parents' bank account.,https://www.tiktok.com/discover/jumps-on-stick,,0,25,0,0,25,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@katrinedaugaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40katrinedaugaard%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"""Katrine Daugaard"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@katrine.daugaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40katrine.daugaard%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"""Katrine Daugaard"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"""Katrine Daugaard"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,Malte Jaeger ｜Поиск в TikTok,Видео от пользователя Malte Jäger (@maltejagernbfyn) с композицией «original sound - Malte Jäger » | TikTok.,https://www.tiktok.com/discover/Malte-Jaeger?lang=ru-RU,,0,25,8,0,33,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,Tillid til Politikere: En Diskussion om Valg og Handlinger | TikTok,Se linket i kommentarfeltet for et tilbageblik på sidste valgaften. Rigtig god aften derude. Mvh. Malte Jäger . Rigtig god dag. Med venlig hilsen Malte Jäger Spidskandidat for Liberal Alliance.,https://www.tiktok.com/@maltejagerfyn,maltejagerfyn,18,25,15,5,63,possible_match
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,"Drei schnelle Tipps, wo du in deinem Spreewald-Urlaub... | TikTok",...entspannen #wellness #therme #urlaubindeutschland #visitbrandenburg Model @annadoex Spreewald.de / @yellow.moses.official (Material: Yellow Moses und Malte Jäger ).,https://www.tiktok.com/@spreewald.de,spreewald.de,0,25,8,0,33,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,En hverdag i fængslet: Livet bag murene | TikTok,"Den nyvalgte viceborgmester i Kerteminde Kommune, Malte Jäger fra Liberal Alliance, udmeldte i går, at han vil frasige sig sit vederlag på 80.000 kroner.",https://www.tiktok.com/@tv2fyn,tv2fyn,0,25,15,0,40,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@malteger""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40malteger%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"""Malte Jäger"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@malte.ger""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40malte.ger%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"""Malte Jäger"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"""Malte Jäger"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,"site:tiktok.com ""David Ibsen""",ddg,1,David _ Ibsen (@ david _ ibsen ) TikTok | Watch David _ Ibsen 's Newest...,david _ ibsen . David _ Ibsen . Подписаться.,https://www.tiktok.com/@david_ibsen,david_ibsen,55,25,0,0,80,high_confidence
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,"""David Ibsen"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,"""David Ibsen"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Discover videos related to Gustav Wilde on TikTok.,"Gustav Wilde . 368M views.TikTok video from gustav schroeder (@gustavschroeder13): ""What a wonderful world..",https://www.tiktok.com/discover/Gustav-Wilde,,0,25,8,0,33,manual_review
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Lifelines | TikTok,"Discover videos related to Lifelines on TikTok. See more videos about Catharine Parke, Fabienne Godet, Gustav Wilde , Mairi Cameron, Maria Mok, Martijn Van Haalen.",https://www.tiktok.com/discover/Lifelines,,0,25,8,0,33,manual_review
