candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,auto_status,review
"Lukas Vestergaard","Liberal Alliance","Nordjyllands Storkreds","lukasvestergaard","https://www.tiktok.com/@lukasvestergaard","55","25","8","0","88","high_confidence","ingen_konto"
"Maria Georgi Sloth","Radikale Venstre","Københavns Storkreds","mariageorgisloth","https://www.tiktok.com/@mariageorgisloth","55","25","8","0","88","high_confidence","korrekt"
"Thomas Klimek","Socialdemokratiet","Nordjyllands Storkreds","thomasklimek","https://www.tiktok.com/@thomasklimek","55","25","8","0","88","high_confidence","ingen_konto"
"Trine Bramsen","Socialdemokratiet","Fyns Storkreds","trinebramsen","https://www.tiktok.com/@trinebramsen","55","25","8","0","88","high_confidence","ingen_konto"
"Sofie Holm","Radikale Venstre","Sjællands Storkreds","sofiewlholm","https://www.tiktok.com/@sofiewlholm","55","25","8","0","88","high_confidence","korrekt"
"Pernille Vermund","Liberal Alliance","Sjællands Storkreds","pernillevermund","https://www.tiktok.com/@pernillevermund","55","25","8","0","88","high_confidence","ingen_konto"
"Peter Hummelgaard","Socialdemokratiet","Københavns Storkreds","peter_hummelgaard","https://www.tiktok.com/@peter_hummelgaard","55","25","8","0","88","high_confidence","korrekt"
"Silas Ipsen","Det Konservative Folkeparti","Sjællands Storkreds","silasipsen","https://www.tiktok.com/@silasipsen","55","25","8","0","88","high_confidence","ingen_konto"
"Phillip Sperling","Venstre","Nordjyllands Storkreds","phillipsperling1","https://www.tiktok.com/@phillipsperling1","55","25","8","0","88","high_confidence","korrekt"
"Rabih Azad-Ahmad","Radikale Venstre","Østjyllands Storkreds","rabihazadahmad","https://www.tiktok.com/@rabihazadahmad","55","25","8","0","88","high_confidence","korrekt"
"Kim Valentin","Venstre","Københavns Omegns Storkreds","kimvalentindk","https://www.tiktok.com/@kimvalentindk","55","25","8","0","88","high_confidence","korrekt"
"Laura Holm","Det Konservative Folkeparti","Nordjyllands Storkreds","lauraholm02","https://www.tiktok.com/@lauraholm02","55","25","8","0","88","high_confidence","korrekt"
"Lea Wermelin","Socialdemokratiet","Bornholms Storkreds","lea.wermelin","https://www.tiktok.com/@lea.wermelin","55","25","8","0","88","high_confidence","korrekt"
"Lise Bertelsen","Det Konservative Folkeparti","Vestjyllands Storkreds","lisebertelsen2022","https://www.tiktok.com/@lisebertelsen2022","55","25","8","0","88","high_confidence","korrekt"
"Lise Jørgensen","Socialdemokratiet","Vestjyllands Storkreds","lisejrgensen","https://www.tiktok.com/@lisejrgensen","55","25","8","0","88","high_confidence","ingen_konto"
