candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,status
Ellen Emilie,Moderaterne,Københavns Storkreds,ellenemilie,https://www.tiktok.com/@ellenemilie,55,25,8,0,88,high_confidence
Emil M. D. Christensen,Venstre,Østjyllands Storkreds,emilchristensen,https://www.tiktok.com/@emilchristensen,55,25,8,0,88,high_confidence
Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,frederikklakk,https://www.tiktok.com/@frederikklakk,55,25,8,0,88,high_confidence
Frederik Vad,Socialdemokratiet,Sjællands Storkreds,frederik.vad,https://www.tiktok.com/@frederik.vad,55,25,8,0,88,high_confidence
Iben Krog,Venstre,Sjællands Storkreds,iben__krog,https://www.tiktok.com/@iben__krog,55,25,8,0,88,high_confidence
Ida Auken,Socialdemokratiet,Københavns Storkreds,idaauken,https://www.tiktok.com/@idaauken,55,25,8,0,88,high_confidence
Jacob Jensen,Venstre,Sjællands Storkreds,.jacobjensen,https://www.tiktok.com/@.jacobjensen,55,25,8,0,88,high_confidence
Jane Christensen,Det Konservative Folkeparti,Sjællands Storkreds,janechristensen,https://www.tiktok.com/@janechristensen,55,25,8,0,88,high_confidence
Jarl Feyling,Socialdemokratiet,Københavns Storkreds,jarlfeyling,https://www.tiktok.com/@jarlfeyling,55,25,8,0,88,high_confidence
John Hoppe,Det Konservative Folkeparti,Fyns Storkreds,john_hoppe,https://www.tiktok.com/@john_hoppe,55,25,8,0,88,high_confidence
Kim Valentin,Venstre,Københavns Omegns Storkreds,kim_valentin,https://www.tiktok.com/@kim_valentin,55,25,8,0,88,high_confidence
Laura Holm,Det Konservative Folkeparti,Nordjyllands Storkreds,laura.holm,https://www.tiktok.com/@laura.holm,55,25,8,0,88,high_confidence
Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,lea.wermelin,https://www.tiktok.com/@lea.wermelin,55,25,8,0,88,high_confidence
Lise Bertelsen,Det Konservative Folkeparti,Vestjyllands Storkreds,lisebertelsen,https://www.tiktok.com/@lisebertelsen,55,25,8,0,88,high_confidence
Lise Jørgensen,Socialdemokratiet,Vestjyllands Storkreds,lisejrgensen,https://www.tiktok.com/@lisejrgensen,55,25,8,0,88,high_confidence
Lone Hansen,Moderaterne,Sydjyllands Storkreds,lonehansen,https://www.tiktok.com/@lonehansen,55,25,8,0,88,high_confidence
Louise Brown,Liberal Alliance,Østjyllands Storkreds,louise..brown,https://www.tiktok.com/@louise..brown,55,25,8,0,88,high_confidence
Louise Louring,Venstre,Østjyllands Storkreds,louise_louring,https://www.tiktok.com/@louise_louring,55,25,8,0,88,high_confidence
Lukas Vestergaard,Liberal Alliance,Nordjyllands Storkreds,lukasvestergaard,https://www.tiktok.com/@lukasvestergaard,55,25,8,0,88,high_confidence
Magnus Heunicke,Socialdemokratiet,Sjællands Storkreds,magnusheunicke,https://www.tiktok.com/@magnusheunicke,55,25,8,0,88,high_confidence
Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,mariageorgisloth,https://www.tiktok.com/@mariageorgisloth,55,25,8,0,88,high_confidence
Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,mettefrederiksen,https://www.tiktok.com/@mettefrederiksen,55,25,8,0,88,high_confidence
Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,mia.tang,https://www.tiktok.com/@mia.tang,55,25,8,0,88,high_confidence
Michael Grove,Det Konservative Folkeparti,Vestjyllands Storkreds,michaelgrove,https://www.tiktok.com/@michaelgrove,55,25,8,0,88,high_confidence
Morten Hell,Moderaterne,Sydjyllands Storkreds,mortenhell,https://www.tiktok.com/@mortenhell,55,25,8,0,88,high_confidence
Nicholas Wentworth,Radikale Venstre,Sydjyllands Storkreds,nicholas.wentworth,https://www.tiktok.com/@nicholas.wentworth,55,25,8,0,88,high_confidence
Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,nicklasverne,https://www.tiktok.com/@nicklasverne,55,25,8,0,88,high_confidence
Niels Peder Ravn,Det Konservative Folkeparti,Københavns Storkreds,nielspederravn,https://www.tiktok.com/@nielspederravn,55,25,8,0,88,high_confidence
Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,olebirkolesen,https://www.tiktok.com/@olebirkolesen,55,25,8,0,88,high_confidence
Pernille Vermund,Liberal Alliance,Sjællands Storkreds,pernillevermund,https://www.tiktok.com/@pernillevermund,55,25,8,0,88,high_confidence
Peter Hummelgaard,Socialdemokratiet,Københavns Storkreds,peter_hummelgaard,https://www.tiktok.com/@peter_hummelgaard,55,25,8,0,88,high_confidence
Phillip Sperling,Venstre,Nordjyllands Storkreds,phillipsperling,https://www.tiktok.com/@phillipsperling,55,25,8,0,88,high_confidence
Rabih Azad-Ahmad,Radikale Venstre,Østjyllands Storkreds,rabihazadahmad,https://www.tiktok.com/@rabihazadahmad,55,25,8,0,88,high_confidence
Silas Ipsen,Det Konservative Folkeparti,Sjællands Storkreds,silasipsen,https://www.tiktok.com/@silasipsen,55,25,8,0,88,high_confidence
Sofie Holm,Radikale Venstre,Sjællands Storkreds,sofie_holm,https://www.tiktok.com/@sofie_holm,55,25,8,0,88,high_confidence
Thomas Klimek,Socialdemokratiet,Nordjyllands Storkreds,thomasklimek,https://www.tiktok.com/@thomasklimek,55,25,8,0,88,high_confidence
Trine Bramsen,Socialdemokratiet,Fyns Storkreds,trinebramsen,https://www.tiktok.com/@trinebramsen,55,25,8,0,88,high_confidence
Brian Køster,Radikale Venstre,Københavns Omegns Storkreds,briankoster,https://www.tiktok.com/@briankoster,53,25,8,0,86,high_confidence
Nils Sjøberg,Radikale Venstre,Sydjyllands Storkreds,nilssjoberg,https://www.tiktok.com/@nilssjoberg,53,25,8,0,86,high_confidence
Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,sorenhomann,https://www.tiktok.com/@sorenhomann,53,25,8,0,86,high_confidence
Søren Vanting,Moderaterne,Østjyllands Storkreds,sorenvanting,https://www.tiktok.com/@sorenvanting,53,25,8,0,86,high_confidence
Samira Nawa,Radikale Venstre,Københavns Storkreds,samiranawa,https://www.tiktok.com/@samiranawa,55,25,0,5,85,high_confidence
Susanne Blegvad Posselt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,susanneposselt,https://www.tiktok.com/@susanneposselt,53,16,15,0,84,high_confidence
Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,filippavittrup,https://www.tiktok.com/@filippavittrup,53,25,0,5,83,high_confidence
Rune Bønnelykke,Dansk Folkeparti,Sydjyllands Storkreds,runebonnelykke,https://www.tiktok.com/@runebonnelykke,53,25,0,5,83,high_confidence
Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,saratvillingla,https://www.tiktok.com/@saratvillingla,49,25,8,0,82,high_confidence
Alexander Ryle,Liberal Alliance,Københavns Storkreds,alexanderryle,https://www.tiktok.com/@alexanderryle,55,25,0,0,80,high_confidence
Allan Feldt,Dansk Folkeparti,Københavns Storkreds,allanfeldt,https://www.tiktok.com/@allanfeldt,55,25,0,0,80,high_confidence
