candidate_key,candidate_name,party_name,storkreds,age_num,education,tiktok_exists,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,videos_total_2026,prior_vote_share_of_party_2022,prior_party_rank_2022
Marlene Harpsøe || Danmarksdemokraterne - Inger Støjberg || nordsjælland,Marlene Harpsøe,Danmarksdemokraterne - Inger Støjberg,nordsjælland,0.0,Bachelor-/diplomuddannelse,0,575,75770,0.007588755444107167,0.0,0.0,0.0,0.0,0.0,,
Martin Graff Jørgensen || SF - Socialistisk Folkeparti || sjælland,Martin Graff Jørgensen,SF - Socialistisk Folkeparti,sjælland,0.0,Seminaruddannelse,0,836,180086,0.004642226491787257,0.0,0.0,0.0,0.0,0.0,,
Martin Kjærulff || Alternativet || fyn,Martin Kjærulff,Alternativet,fyn,0.0,Gymnasial uddannelse,0,94,44532,0.002110841641965328,0.0,0.0,0.0,0.0,0.0,0.013416077770204829,11.0
Martin Laursen || Enhedslisten - De Rød-Grønne || østjylland,Martin Laursen,Enhedslisten - De Rød-Grønne,østjylland,0.0,Kandidat-/masteruddannelse,0,317,86659,0.003658015901406663,0.0,0.0,0.0,0.0,0.0,,
Martin Lidegaard || Radikale Venstre || nordsjælland,Martin Lidegaard,Radikale Venstre,nordsjælland,0.0,Kandidat-/masteruddannelse,1,9328,100983,0.09237198340314706,4.0,7.0,13.0,18.0,18.0,0.17361498025726121,1.0
Martin Lissner || Liberal Alliance || fyn,Martin Lissner,Liberal Alliance,fyn,0.0,Ikke oplyst,0,101,117371,0.0008605192083223284,0.0,0.0,0.0,0.0,0.0,,
Martin Mickey Pedersen || Liberal Alliance || sjælland,Martin Mickey Pedersen,Liberal Alliance,sjælland,0.0,Grundskole,0,97,117371,0.0008264392396758995,0.0,0.0,0.0,0.0,0.0,,
Martin Nordstjerne || Borgernes Parti - Lars Boje Mathiesen || nordsjælland,Martin Nordstjerne,Borgernes Parti - Lars Boje Mathiesen,nordsjælland,0.0,Bachelor-/diplomuddannelse,0,298,22238,0.013400485655184818,0.0,0.0,0.0,0.0,0.0,,
Martin Rahn Johansen || Danmarksdemokraterne - Inger Støjberg || sjælland,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,sjælland,0.0,Erhvervsuddannelse,1,582,75770,0.00768114029299195,2.0,5.0,8.0,15.0,37.0,,
Martin Sanderhoff || Moderaterne || vestjylland,Martin Sanderhoff,Moderaterne,vestjylland,0.0,Bachelor-/diplomuddannelse,0,650,100412,0.00647332988089073,0.0,0.0,0.0,0.0,0.0,,
Martin Sibast || Danmarksdemokraterne - Inger Støjberg || københavn,Martin Sibast,Danmarksdemokraterne - Inger Støjberg,københavn,0.0,Ikke oplyst,0,107,75770,0.0014121684043816815,0.0,0.0,0.0,0.0,0.0,,
Mathias D. Christiansen || Enhedslisten - De Rød-Grønne || sydjylland,Mathias D. Christiansen,Enhedslisten - De Rød-Grønne,sydjylland,0.0,Bachelor-/diplomuddannelse,0,140,86659,0.0016155275274351193,0.0,0.0,0.0,0.0,0.0,,
Mathias Fuglsang || Borgernes Parti - Lars Boje Mathiesen || københavns omegn,Mathias Fuglsang,Borgernes Parti - Lars Boje Mathiesen,københavns omegn,0.0,Gymnasial uddannelse,0,207,22238,0.009308391042359924,0.0,0.0,0.0,0.0,0.0,,
Mathias Sikora || Radikale Venstre || østjylland,Mathias Sikora,Radikale Venstre,østjylland,0.0,Kandidat-/masteruddannelse,1,1030,100983,0.010199736589326916,6.0,11.0,17.0,27.0,28.0,,
Mathias Thybo || Socialdemokratiet || østjylland,Mathias Thybo,Socialdemokratiet,østjylland,0.0,Kandidat-/masteruddannelse,0,325,369428,0.0008797384064012473,0.0,0.0,0.0,0.0,0.0,,
Mathilde Hjort Bressum || Venstre || østjylland,Mathilde Hjort Bressum,Venstre,østjylland,0.0,Kandidat-/masteruddannelse,0,2317,235636,0.00983296270518936,0.0,0.0,0.0,0.0,0.0,,
Mathilde Vinther || Enhedslisten - De Rød-Grønne || københavn,Mathilde Vinther,Enhedslisten - De Rød-Grønne,københavn,0.0,Seminaruddannelse,1,1294,86659,0.01493209014643603,2.0,7.0,12.0,12.0,12.0,,
Matilde Powers || Socialdemokratiet || nordsjælland,Matilde Powers,Socialdemokratiet,nordsjælland,0.0,Kandidat-/masteruddannelse,0,4030,369428,0.010908756239375468,0.0,0.0,0.0,0.0,0.0,0.011845495007549013,31.0
Matilde Skov-Hansen || Alternativet || fyn,Matilde Skov-Hansen,Alternativet,fyn,0.0,Bachelor-/diplomuddannelse,0,212,44532,0.004760621575496273,0.0,0.0,0.0,0.0,0.0,,
Mattias Tesfaye || Socialdemokratiet || københavns omegn,Mattias Tesfaye,Socialdemokratiet,københavns omegn,0.0,Erhvervsuddannelse,0,11898,369428,0.03220654633649859,0.0,0.0,0.0,0.0,0.0,0.03914261178992979,4.0
Melina Andersen || SF - Socialistisk Folkeparti || nordjylland,Melina Andersen,SF - Socialistisk Folkeparti,nordjylland,0.0,Kandidat-/masteruddannelse,0,2330,180086,0.012938262829981232,0.0,0.0,0.0,0.0,0.0,0.02568228972708411,15.0
Mercedes Czank || Dansk Folkeparti || østjylland,Mercedes Czank,Dansk Folkeparti,østjylland,0.0,Ikke oplyst,0,156,126849,0.0012298086701511245,0.0,0.0,0.0,0.0,0.0,,
Merete Dea Larsen || Dansk Folkeparti || københavn,Merete Dea Larsen,Dansk Folkeparti,københavn,0.0,Ikke oplyst,0,1083,126849,0.008537710190856846,0.0,0.0,0.0,0.0,0.0,,
Merete Riisager || Liberal Alliance || københavn,Merete Riisager,Liberal Alliance,københavn,0.0,Kandidat-/masteruddannelse,0,1656,117371,0.014109107019621541,0.0,0.0,0.0,0.0,0.0,,
Mette Abildgaard || Det Konservative Folkeparti || nordsjælland,Mette Abildgaard,Det Konservative Folkeparti,nordsjælland,0.0,Kandidat-/masteruddannelse,0,10807,133656,0.0808568264799186,0.0,0.0,0.0,0.0,0.0,0.1652198699178565,1.0
Mette Bloch Hansen || Enhedslisten - De Rød-Grønne || københavn,Mette Bloch Hansen,Enhedslisten - De Rød-Grønne,københavn,0.0,Kandidat-/masteruddannelse,0,173,86659,0.0019963304446162546,0.0,0.0,0.0,0.0,0.0,0.0074770863482875064,15.0
